2A1型釉质发育不全,amelogenesis imperfecta type 2A1
坏死性胃炎,necrotizing gastritis
1H型釉质发育不全,amelogenesis imperfecta type 1H
2A4型低成熟釉质发育不全,amelogenesis imperfecta hypomaturation type 2A4
胃十二指肠克罗恩病,gastroduodenal Crohns disease
外部病理性吸收,external pathological resorption
牙体硬组织病,teeth hard tissue disease
消化系统疾病,gastrointestinal system disease
1C型釉质发育不全,amelogenesis imperfecta type 1C
牙齿发育不全,tooth agenesis
1型先天性分泌性氯（化物）腹泻,congenital secretory chloride diarrhea 1
1F型釉质发育不全,amelogenesis imperfecta type 1F
口腔黏膜白斑,oral mucosa leukoplakia
慢性肠血管功能不全,chronic intestinal vascular insufficiency
2A3型低成熟釉质发育不全,amelogenesis imperfecta hypomaturation type 2A3
2A2型低成熟釉质发育不全,amelogenesis imperfecta hypomaturation type 2A2
内部病理性吸收,internal pathological resorption
釉质侵蚀,enamel erosion
牙（本质）侵蚀,dentine erosion
（活动性）消化性溃疡病,active peptic ulcer disease
1E型牙釉质发育不全,amelogenesis imperfecta type 1E
真菌性胃炎,fungal gastritis
细菌性胃炎,bacterial gastritis
动力性腹泻,motility-related diarrhea
疱疹性胃炎,herpetic gastritis
2A5型牙釉质发育不全,amelogenesis imperfecta hypomaturation type 2A5
迪厄拉富瓦病,Dieulafoy lesion,Dieulafoy病
4型牙釉质发育不全,amelogenesis imperfecta type 4
功能性胃肠病,functional gastric disease,胃肠道功能紊乱
1G型牙釉质发育不全,amelogenesis imperfecta type 1G
肝脏炎性假瘤，liver inflammatory pseudotumor
1B型牙釉质发育不全,amelogenesis imperfecta type 1B
先天性食管裂孔疝,displacement of cardia through esophageal hiatus,(他的label错了)
小肠憩室炎,small intestine diverticulitis
1A型牙釉质发育不全,amelogenesis imperfecta type 1A
肛周与直肠溃疡,ulcer of anus and rectum
3型牙釉质发育不全,amelogenesis imperfecta type 3
食管白斑,esophageal leukoplakia
巴雷斯特食道症,Barrett&apos;s esophagus,巴洛氏食道症,巴雷特症候群,巴瑞特氏食道症
克罗恩病,Crohn&apos;s disease,局限性肠炎,局限性回肠炎,节段性肠炎,肉芽肿性肠炎
先天性回肠末端憩室,Meckel&apos;s diverticulitis,梅克尔憩室,美克尔憩室炎
结肠节段性肠炎,Crohn&apos;s colitis,结肠克隆氏病
先天性巨结肠,Hirschsprung&apos;s disease,希尔施普龙病
pulp erosion,pulp erosion
outlet dysfunction constipation,outlet dysfunction constipation
X-linked amelogenesis imperfecta hypoplastic/hypomaturation 2,X-linked amelogenesis imperfecta hypoplastic/hypomaturation 2
