intestinal infectious disease,0
Barrett&apos;s esophagus,0
amelogenesis imperfecta type 2A1,1
necrotizing gastritis,1
Crohn&apos;s disease,0
submandibular gland disease,0
pulp erosion,0
amelogenesis imperfecta type 1H,1
amelogenesis imperfecta hypomaturation type 2A4,1
gastroduodenal Crohn&apos;s disease,1
external pathological resorption,1
steatorrhea,0
teeth hard tissue disease,1
duodenal disease,0
gastrointestinal system disease,1
angiodysplasia of intestine,0
amelogenesis imperfecta type 1C,1
Epstein-Barr virus hepatitis,0
parotitis,0
tooth agenesis,1
congenital secretory chloride diarrhea 1,1
amelogenesis imperfecta type 1F,1
Meckel&apos;s diverticulitis,0
cecal disease,0
oral mucosa leukoplakia,1
fungal esophagitis,0
chronic intestinal vascular insufficiency,1
rectal disease,0
amelogenesis imperfecta hypomaturation type 2A3,1
amelogenesis imperfecta hypomaturation type 2A2,1
Crohn&apos;s colitis,0
perinatal necrotizing enterocolitis,0
internal pathological resorption,1
enamel erosion,1
viral gastritis,0
dentine erosion,1
active peptic ulcer disease,1
amelogenesis imperfecta type 1E,1
Hirschsprung&apos;s disease,0
functional colonic disease,0
odontoclasia,0
fungal gastritis,1
bacterial gastritis,1
motility-related diarrhea,1
X-linked amelogenesis imperfecta hypoplastic/hypomaturation 2,1
herpetic gastritis,1
neurogenic bowel,0
parotid disease,0
amelogenesis imperfecta hypomaturation type 2A5,1
Dieulafoy lesion,1
amelogenesis imperfecta type 4,1
functional gastric disease,1
amelogenesis imperfecta type 1G,1
dental pulp disease,0
liver inflammatory pseudotumor,1
amelogenesis imperfecta type 1B,1
bacterial esophagitis,0
colonic disease,0
displacement of cardia through esophageal hiatus,1
outlet dysfunction constipation,1
small intestine diverticulitis,1
amelogenesis imperfecta type 1A,1
ulcer of anus and rectum,1
amelogenesis imperfecta type 3,1
common bile duct disease,0
sigmoid disease,0
esophageal leukoplakia,1
ileocolitis,0
